alias,numcoffeemen,numreviews,fraccof
five-and-dime-new-york,48.0,86,0.5581395348837209
five-stuy-cafe-new-york,46.0,66,0.696969696969697
flora-coffee-new-york,21.0,24,0.875
flour-shop-new-york-2,3.0,40,0.075
for-five-coffee-roasters-new-york-2,89.0,101,0.8811881188118812
for-five-coffee-roasters-new-york-9,8.0,11,0.7272727272727273
frame-gourmet-eatery-new-york,8.0,40,0.2
frenchy-coffee-nyc-new-york,70.0,86,0.813953488372093
fresh-food-corner-new-york,0.0,15,0.0
friends-café-and-deli-new-york-2,0.0,1,0.0
frisson-espresso-new-york,96.0,101,0.9504950495049505
future-you-café-new-york,36.0,40,0.9
gasoline-alley-coffee-new-york,14.0,20,0.7
gasoline-alley-coffee-new-york-2,74.0,80,0.925
gasoline-alley-coffee-new-york-3,39.0,44,0.8863636363636364
gasoline-alley-coffee-new-york-4,7.0,8,0.875
gc-egg-rolls-house-new-york,7.0,25,0.28
giacomo-s-new-york,11.0,36,0.3055555555555556
go-cups-new-york,5.0,76,0.06578947368421052
golden-carriage-bakery-new-york,1.0,1,1.0
golden-manna-bakery-new-york,8.0,35,0.22857142857142856
golden-steamer-new-york,15.0,60,0.25
gong-cha-soho-new-york,0.0,15,0.0
good-tea-water-new-york-3,0.0,1,0.0
good-thanks-nyc-new-york,44.0,100,0.44
gotan-chelsea-new-york-4,21.0,44,0.4772727272727273
gotan-midtown-new-york-2,43.0,102,0.4215686274509804
gotham-cafe-new-york,61.0,100,0.61
grab-and-go-new-york,3.0,26,0.11538461538461539
grace-street-new-york,38.0,116,0.3275862068965517
grandlo-cafe-new-york-3,33.0,47,0.7021276595744681
greca-new-york-3,17.0,52,0.3269230769230769
green-e-tea-new-york,0.0,5,0.0
gregorys-coffee-brooklyn-2,45.0,57,0.7894736842105263
gregorys-coffee-new-york,85.0,101,0.8415841584158416
gregorys-coffee-new-york-10,50.0,63,0.7936507936507936
gregorys-coffee-new-york-12,82.0,101,0.8118811881188119
gregorys-coffee-new-york-14,29.0,40,0.725
