id,name,alias,is_closed,review_count,price,rating,transactions,latitude,longitude,geometry,index_right,boro_code,boro_name,county_fip,ntacode,ntaname,shape_area,shape_leng,catlist
kSNAky2m13fG4Y3Q0arqFg,Everyman Espresso,everyman-espresso-new-york-2,False,171,$$,4.0,[],40.72136070000001,-74.00440959999997,POINT (-74.00440959999997 40.72136070000001),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
kA98xP8HiJ_-fVaM7RECLw,Laughing Man Coffee & Tea,laughing-man-coffee-and-tea-new-york-3,False,231,$$,4.5,[],40.71731,-74.01016,POINT (-74.01016 40.71731),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
moo7CuKs4djrUCMHs4G_uQ,Café Integral,café-integral-new-york-2,False,85,$$,4.0,['pickup'],40.720384,-73.995213,POINT (-73.99521300000001 40.720384),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
AiJ57vdvqBG431_eeDE8_w,Caffe Roma Pastry,caffe-roma-pastry-new-york,False,307,$$,3.5,[],40.7202399,-73.99681,POINT (-73.99681 40.7202399),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'desserts']"
MN17Htz75s1aZvO5nltzPA,Haven Cafe,haven-cafe-new-york,False,54,$,4.5,[],40.71885,-73.99668,POINT (-73.99668 40.71885),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'sandwiches']"
xKgh4ZcjY5fTmXTvYVrsbw,Cafe Belle,cafe-belle-new-york,False,61,$,4.5,"['pickup', 'delivery']",40.72437,-73.99509,POINT (-73.99509 40.72437),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'modern_european']"
oWFl4gLa9Pd67O6C9z8NeQ,Matchaful,matchaful-new-york-5,False,69,$$,4.5,[],40.72109,-74.00398,POINT (-74.00398 40.72109),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
2qGA2wu_MYpjUKxzpmQbBg,OddFellows Ice Cream,oddfellows-ice-cream-new-york-3,False,87,$$,4.0,[],40.72458,-73.99445,POINT (-73.99445 40.72458),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'icecream']"
lIQif4P5GUcNNZQ7Kmaxcg,L.A. Burdick Handmade Chocolates,l-a-burdick-handmade-chocolates-new-york-5,False,115,$$,4.5,[],40.72577,-74.00135999999998,POINT (-74.00135999999998 40.72577),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['chocolate', 'coffee', 'desserts']"
MYYWU9rEIRZw43lACKXzTQ,Yours Truly,yours-truly-new-york-4,False,89,$$,4.0,[],40.7210275432472,-73.9944903889549,POINT (-73.9944903889549 40.7210275432472),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
r9wwILW7TAfvLq-akfT0CQ,T2,t2-new-york,False,52,$$,4.5,[],40.7239277,-73.9967085,POINT (-73.9967085 40.7239277),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
SJPb5MbD2FeqeuNEvmlAqQ,Macao Imperial Tea,macao-imperial-tea-new-york,False,57,$,4.0,[],40.71789,-73.99691999999997,POINT (-73.99691999999997 40.71789),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bubbletea', 'coffee']"
iAiQP9RjAxv395tpjb8IUA,Westside Coffee Shop,westside-coffee-shop-new-york,False,78,$,4.0,"['pickup', 'delivery']",40.72009,-74.00366,POINT (-74.00366 40.72009),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'latin']"
0pohq-vk8zKoi8ntSJnX4g,Smile To Go,smile-to-go-new-york-2,False,129,$$,3.5,"['pickup', 'delivery']",40.7195836,-74.0001862,POINT (-74.0001862 40.7195836),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'newamerican']"
MxMFcf9nRzjWbYREGa8AVA,Sage Collective,sage-collective-new-york,False,28,$$,4.5,['restaurant_reservation'],40.720858,-73.99720400000002,POINT (-73.99720400000002 40.720858),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['chinese', 'coffee', 'tea']"
3RdrV08_Ni-4xRDxROTYHA,Dr Smood - Soho Organic Cafe,dr-smood-soho-organic-cafe-new-york-3,False,118,$$,4.0,"['pickup', 'delivery']",40.72282,-74.0014,POINT (-74.0014 40.72282),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['cafes', 'coffee', 'juicebars']"
D2fCCyWufWiBTvrt3nMxHg,Flour Shop,flour-shop-new-york-2,False,113,$$,3.5,[],40.720440176684,-73.9986134071706,POINT (-73.99861340717059 40.720440176684),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'customcakes']"
qmk8FmYNNBOVNkkw8qxpvA,Cafe Grumpy,cafe-grumpy-new-york-10,False,47,$,4.5,[],40.7204165,-73.99610799999998,POINT (-73.99610799999998 40.7204165),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
bHY5-dzDzzTw6Xl0duONVQ,Interlude Coffee & Tea,interlude-coffee-and-tea-new-york,False,46,$$,5.0,[],40.72107000000001,-74.00868,POINT (-74.00868 40.72107000000001),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'desserts']"
jzZ-V7zrmLQ9ZVwv0oVt7g,Gasoline Alley Coffee,gasoline-alley-coffee-new-york-2,False,80,$,4.0,[],40.72019276906271,-73.99887773516541,POINT (-73.99887773516541 40.72019276906271),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
isXJQkM2PbPwjKS-C2iLgg,About Coffee,about-coffee-new-york-2,False,68,$,4.5,[],40.7245227745364,-74.00391966104509,POINT (-74.00391966104509 40.7245227745364),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
p7AK3xaLGgyG1jYP8kSzNw,Caffe Bene,caffe-bene-new-york-34,False,82,$$,4.0,"['pickup', 'delivery']",40.72100442605221,-74.0043499055924,POINT (-74.00434990559241 40.72100442605221),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'desserts']"
cJBLw_FfD9w_X2XZS3TqIg,Brigadeiro Bakery,brigadeiro-bakery-new-york-3,False,122,$$,4.0,['pickup'],40.727446108802795,-74.0016795987419,POINT (-74.0016795987419 40.72744610880279),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee', 'desserts']"
jsjJxd8NzEnl19VM94bbGw,Blue Spoon Coffee,blue-spoon-coffee-new-york,False,185,$,4.0,[],40.7143174856901,-74.0067286044359,POINT (-74.00672860443591 40.7143174856901),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['coffee', 'sandwiches']"
WgTn7lpHF8aMxD8rb5LSZw,Landmark Coffee Shop,landmark-coffee-shop-new-york,False,146,$,3.5,[],40.71999,-73.99866,POINT (-73.99866 40.71999),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
1waj06LDfxQPCMRPJLossw,Billy's Bakery,billys-bakery-new-york-2,False,219,$$,3.0,"['pickup', 'delivery']",40.717859,-74.004299,POINT (-74.004299 40.717859),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee']"
jJqZrvbMK6CAft44m7UPFA,Aroma Espresso Bar,aroma-espresso-bar-new-york-4,False,344,$$,3.5,"['pickup', 'delivery']",40.7130021842013,-74.0099036917633,POINT (-74.0099036917633 40.7130021842013),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'cafes', 'coffee']"
cS1_qVGE4kqSEcY_eXWcTw,Double Crispy Bakery,double-crispy-bakery-new-york,False,72,$,3.5,[],40.7186499,-73.99499,POINT (-73.99499 40.7186499),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['bakeries', 'coffee']"
a8d18n8gAQpQHcr6KwCCeA,Saturdays NYC - Coffee Bar,saturdays-nyc-coffee-bar-new-york,False,76,$$,4.0,[],40.72079,-73.99944,POINT (-73.99944000000001 40.72079),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
qeCuyVChvOBl4Yhtn56FSA,Kaffe 1668,kaffe-1668-new-york-3,False,201,$$,3.5,"['pickup', 'delivery']",40.72092,-74.00968,POINT (-74.00968 40.72092),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['breakfast_brunch', 'coffee', 'sandwiches']"
LN0CU6tRFqN_Q8TbehkyhA,Peddler,peddler-new-york-3,False,24,$,4.5,[],40.7247,-73.99583,POINT (-73.99583 40.7247),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,['coffee']
OQOr0DE1HtSNfxO5_mwfFg,Five & Dime,five-and-dime-new-york,False,83,$$,4.5,"['pickup', 'delivery']",40.7126429155284,-74.0080474702053,POINT (-74.0080474702053 40.7126429155284),123,1.0,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,25032687.72,26855.032328,"['cocktailbars', 'coffee']"
