,id,name,alias,is_closed,categories,review_count,price,rating,transactions,latitude,longitude
1714,4RRaroFBdXjQTS_1_7FDsg,Gregorys Coffee,gregorys-coffee-new-york-12,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",121,$$,4.0,"['pickup', 'delivery']",40.7467398,-73.9829561
1715,S1kVE60CFbA9xWjxqU3V_A,Gregorys Coffee,gregorys-coffee-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",351,$$,4.0,"['pickup', 'delivery']",40.7409656,-73.98557
1716,RBNHu3wX_MNoWFzSRB0_-A,Paris Baguette,paris-baguette-new-york-14,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",58,$$,3.5,[],40.7322386652231,-73.9816204458475
1717,KyOo9_YBJ71ucvQ7RUgOMA,Pret A Manger,pret-a-manger-new-york-42,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",67,$$,3.5,[],40.7621501365543,-73.9862343102798
1718,VR4XbOgr7Hm0S-awZckb1A,Pret A Manger,pret-a-manger-new-york-44,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",31,$,4.0,['delivery'],40.741056,-73.9941616
1719,E6JtdoNIYvI8Yga46J2GFA,Nuts Factory,nuts-factory-new-york,False,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",20,,4.5,"['pickup', 'delivery']",40.76324,-73.96577
1720,lXtwiYAzgTi2xhT1xg7gTQ,Think Coffee,think-coffee-new-york-13,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",90,$$,3.0,[],40.73815,-73.984
1721,ZO9CKtJ9tvPSwEns-semKA,Zucker's Bagels & Smoked Fish,zuckers-bagels-and-smoked-fish-new-york-10,False,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'delis', 'title': 'Delis'}]",130,$,3.0,"['pickup', 'delivery']",40.740301,-73.98736
1722,D9Ssrp9NRiamWvCAdiIJsg,Pret A Manger,pret-a-manger-new-york-22,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",28,$$,3.5,[],40.756965,-73.975898
1723,48htF1209VCheeQRvs3hdQ,Isadora's Cafe,isadoras-cafe-new-york,False,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'delis', 'title': 'Delis'}]",89,$,3.0,"['pickup', 'delivery']",40.75924,-73.97523
1724,7FXqwmleKbjF-oMgWcUybA,JOE & THE JUICE,joe-and-the-juice-new-york-26,False,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",33,$,4.0,[],40.76072,-73.97171
1725,r0Vl_AcBJaroj00BJ5BSoQ,Pret A Manger,pret-a-manger-new-york-43,False,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",66,$,3.5,[],40.7334654,-73.9913507
